elapsed_time,servo_val,motor_speed
53.041,480,70
53.073,480,70
53.106,480,70
53.137,480,70
53.17,480,70
53.2,480,70
53.25,480,70
53.281,480,70
53.313,480,70
53.345,480,70
53.378,480,70
53.41,480,70
53.441,480,70
53.474,480,70
53.506,480,70
53.537,480,70
53.569,480,70
53.618,480,70
53.649,480,70
53.683,480,70
53.714,480,70
53.746,480,70
53.778,480,70
53.809,480,70
53.84,480,70
53.874,480,70
53.906,480,70
53.937,480,70
53.971,480,70
54.001,480,70
54.051,480,70
54.082,480,70
54.114,480,70
54.146,480,70
54.178,480,70
54.209,480,70
54.243,480,70
54.272,480,70
54.304,480,70
54.337,480,70
54.369,480,70
54.401,480,70
54.449,480,70
54.481,480,70
54.514,480,70
54.545,480,70
54.579,480,70
54.609,480,70
54.642,480,70
54.674,480,70
54.706,480,70
54.738,480,70
54.77,480,70
54.802,480,70
54.849,480,70
54.88,480,70
54.914,480,70
54.946,480,70
54.978,480,70
55.01,480,70
55.042,480,70
55.073,480,70
55.105,480,70
55.138,480,70
55.169,480,70
55.201,480,70
55.25,480,70
55.281,480,70
55.313,480,70
55.346,480,70
55.378,480,70
55.409,480,70
55.441,480,70
55.474,480,70
55.506,480,70
55.538,480,70
55.569,480,70
55.601,480,70
55.649,480,70
55.682,480,70
55.713,480,70
55.745,570,70
55.777,570,70
55.809,570,70
